SLID,NAME,CONTACT NO,SHORT NAME,ESTABLISHED YEAR,REGISTRATION NO,PHARMACY TYPE,PHARMACY CATEGORY,PROPREITOR NAME,PROPREITOR CONTACT NO,PROPREITOR EMAIL ID,PROPREITOR ADDRESS,CHEMIST TYPE,CHEMISTRATING,BRANCH DRUG LICENSE NO,BRANCH VAT,BRANCH CST,BRANCH TIN REGIS NO,CHEMIST NAME,STATION,BRANCH ADDRESS LINE 1,BRANCH ADDRESS LINE 2,BRANCH ADDRESS LINE 3,BRANCH CITY,BRANCH STATE,COUNTRY,BRANCH MOBILE NO,BRANCH LANDLINE NO,BRANCH FAX NO,BRANCH WEBSITE,BRANCH BUISNESS POTENTIAL,BRANCH SHIPPING ADDRESS LINE 1,BRANCH SHIPPING ADDRESS LINE 2,BRANCH SHIPPING ADDRESS LINE 3,BRANCH SHIPPING CITY,BRANCH SHIPPING STATE,BRANCH SHIPPING COUNTRY,BRANCH SHIPPING MOBILE NO,BRANCH SHIPPING LANDLINE NO,BRANCH BEST TIME FROM,BRANCH BEST TIME TO,BRANCH WORK TIMINGS DAYS,BRANCH WORK TIMINGS FROM,BRANCH WORK TIMINGS TO,BRANCH FREQUENCY TYPE,BRANCH FREQUENCY CALL,Lat,Long,,,,,,,,,,,,,
UAEPHAR00016,SUPER CARE PHARMACY-OASIS CENTRE,,,,,,,,,,,,,,,,,,DUBAI-Al Quoz 3,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.1347894,55.2369693,,,,,,,,,,,,,
UAEPHAR00017,JENANAH PHARMACY-DXB,,,,,,,,,,,,,,,,,,DUBAI-Abubaker Sidhique,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2048493,55.2707828,,,,,,,,,,,,,
UAEPHAR00018,KIMS PHARMACY-DUBAI,,,,,,,,,,,,,,,,,,DUBAI-Abubaker Sidhique,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2048493,55.2707828,,,,,,,,,,,,,
UAEPHAR00019,MASHREQ PHARMACY DUBAI,,,,,,,,,,,,,,,,,,DUBAI-Al Qusais 2,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2769816,55.3724294,,,,,,,,,,,,,
UAEPHAR00020,MEDI GREEN PHARMACY L.L.C.-DUBAI,,,,,,,,,,,,,,,,,,DUBAI-Al Qusais 1,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2769816,55.3724294,,,,,,,,,,,,,
UAEPHAR00021,MUHAISNA STAR PHARMACY-DUBAI,,,,,,,,,,,,,,,,,,DUBAI-Sonapur,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2048493,55.2707828,,,,,,,,,,,,,
UAEPHAR00022,NASEEM PHARMACY-QUSAIS,,,,,,,,,,,,,,,,,,DUBAI-Al Qusais 1,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2769816,55.3724294,,,,,,,,,,,,,
UAEPHAR00023,NEW MEDICAL CENTRE - DXB,,,,,,,,,,,,,,,,,,DUBAI-Abuhail 1,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2858687,55.3281742,,,,,,,,,,,,,
UAEPHAR00024,NEW MEDICAL CENTRE SPECIALITY PHARMACY,,,,,,,,,,,,,,,,,,DUBAI-Al Nahda 1,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2925081,55.3724294,,,,,,,,,,,,,
UAEPHAR00025,NOOR AL QUSAIS PHARMACY-DUBAI,,,,,,,,,,,,,,,,,,DUBAI-Al Qusais 2,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2769816,55.3724294,,,,,,,,,,,,,
UAEPHAR00026,ORIENT PHARMACY-DUBAI,,,,,,,,,,,,,,,,,,DUBAI-Abubaker Sidhique,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2048493,55.2707828,,,,,,,,,,,,,
UAEPHAR00027,RAFEA PHARMACY (DUBAI),,,,,,,,,,,,,,,,,,DUBAI-Al Qusais 2,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2769816,55.3724294,,,,,,,,,,,,,
UAEPHAR00028,ZULEKHA HOSPITAL-DUBAI,,,,,,,,,,,,,,,,,,DUBAI-Al Nahda 3,,,,,,,,,,,,,,,,,,,,,,,,,Monthly,2,25.2925081,55.3724294,,,,,,,,,,,,,
