SLID,NAME,CONTACT NO,SHORT NAME,ESTABLISHED YEAR,REGISTRATION NO,PHARMACY TYPE,PHARMACY CATEGORY,PROPREITOR NAME,PROPREITOR CONTACT NO,PROPREITOR EMAIL ID,PROPREITOR ADDRESS,CHEMIST TYPE(id),CHEMISTRATING(id),BRANCH DRUG LICENSE NO,BRANCH VAT,BRANCH CST,BRANCH TIN REGIS NO,CHEMIST NAME,STATION,BRANCH ADDRESS LINE 1,BRANCH ADDRESS LINE 2,BRANCH ADDRESS LINE 3,BRANCH CITY,BRANCH STATE(id),COUNTRY,BRANCH MOBILE NO,BRANCH LANDLINE NO,BRANCH FAX NO,BRANCH WEBSITE,BRANCH BUISNESS POTENTIAL,BRANCH SHIPPING ADDRESS LINE 1,BRANCH SHIPPING ADDRESS LINE 2,BRANCH SHIPPING ADDRESS LINE 3,BRANCH SHIPPING CITY,BRANCH SHIPPING STATE(id),BRANCH SHIPPING COUNTRY,BRANCH SHIPPING MOBILE NO,BRANCH SHIPPING LANDLINE NO,BRANCH BEST TIME FROM,BRANCH BEST TIME TO,BRANCH WORK TIMINGS DAYS,BRANCH WORK TIMINGS FROM,BRANCH WORK TIMINGS TO,BRANCH FREQUENCY TYPE,BRANCH FREQUENCY CALL,Lat,Long
CHL-015,SAGAR LAL PHARMACY,,SLP,,,,,,,,,,,,,,,ANWAR,Hyderabad - 1,MUSHEERABAD,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-016,NIVEDITHA PHARMACY,,NP,,,,,,,,,,,,,,,SREERAMULU,Hyderabad - 1,MUSHEERABAD,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-017,PRATHIMA PHARMACY,,PP,,,,,,,,,,,,,,,MOHAN RAO,Hyderabad - 1,KACHIGUDA,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-018,WOOD LANDS PHARMA,,WLP,,,,,,,,,,,,,,,SANKAR GOUD,Hyderabad - 1,KACHIGUDA,,,,TELENGANA,INDIA,,040-30221111,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-019,PRAJA SAI PHARMA,,PSP,,,,,,,,,,,,,,,RAJU,Hyderabad - 1,MUSHEERABAD,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-020,JAGADAMBA PHARMA,,JP,,,,,,,,,,,,,,,RAGHAVA REDDY,Hyderabad - 1,MUSHEERABAD,,,,TELENGANA,INDIA,,9848921234,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-021,GURUNANAK CARE PHARMACY,,GCP,,,,,,,,,,,,,,,PRASAD,Hyderabad - 1,MUSHEERABAD,,,,TELENGANA,INDIA,7093002331,,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-022,DURGABAI DESHMUKH PHARMACY,,DDP,,,,,,,,,,,,,,,USHA,Hyderabad - 1,VIDYANAGAR,,,,TELENGANA,INDIA,,040-27681166,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-023, RAVI HILEOUS PHARMA,,RHP,,,,,,,,,,,,,,,SHARATH,Hyderabad - 1,ASHOK NAGAR,,,,TELENGANA,INDIA,9440952256,,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-024,NISA MEDICAS,,NM,,,,,,,,,,,,,,,MD.ALI,Hyderabad - 1,MALLEPALLI,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-025,AADITHYA PHARMA,,AP,,,,,,,,,,,,,,,SUDHERSHAN,Hyderabad - 1,ABIDS,,,,TELENGANA,INDIA,,040-30414663,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-026,MAX CURE PHARMA,,MCP,,,,,,,,,,,,,,,SAMPATH,Hyderabad - 1,SECRETARIAT,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-027,S.V.S.PHARMACY,,SVSP,,,,,,,,,,,,,,,PANDYA,Hyderabad - 1,KACHIGUDA,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-028,TILAK NAGAR PHARMACY,,TNP,,,,,,,,,,,,,,,ASHOK,Hyderabad - 1,TILAKNAGAR,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-029,SRI SAI SRINIVASA MEDICALS,,SSSM,,,,,,,,,,,,,,,RAMU,Hyderabad - 1,NARAYANAGUDA,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-030,SHIFA PHARMACY,,SP,,,,,,,,,,,,,,,SAMEE,Hyderabad - 1,KACHIGUDA,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-031,NEO BBC PHARMACY,,NBP,,,,,,,,,,,,,,,SRINU,Hyderabad - 1,VIDYANAGAR,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,17.4947934,78.3996441
CHL-032,INDHIRA PHARMACY,,IP,,,,,,,,,,,,,,,HASGAR,Shamshabad,SHAMSHABAD,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,17.25116,78.4377349
CHL-033,TRIDENT PHARMA,,TP,,,,,,,,,,,,,,,SUMA,Shamshabad,SHAMSHABAD,,,,TELENGANA,INDIA,8008700951,,,,,,,,,,,,,,,,,,Monthly,2,17.25116,78.4377349
CHL-034,PRANEETH PHARMA,,PP,,,,,,,,,,,,,,,RAJU,Shamshabad,SHAMSHABAD,,,,TELENGANA,INDIA,9848959654,,,,,,,,,,,,,,,,,,Monthly,2,17.25116,78.4377349
CHL-035,ST.THERISSA PHARMACY,,STP,,,,,,,,,,,,,,,SARITHA,Shamshabad,SHAMSHABAD,,,,TELENGANA,INDIA,8413222106,,,,,,,,,,,,,,,,,,Monthly,2,17.25116,78.4377349
CHL-036,SRI SRINIVASA PHARMA,,SSP,,,,,,,,,,,,,,,RAMU,Shamshabad,SHAMSHABAD,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,17.25116,78.4377349
CHL-037,AMRUTHA PHARMA,,AP,,,,,,,,,,,,,,,MOHAR ,Shamshabad,SHAMSHABAD,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,17.25116,78.4377349
CHL-038,VIJAY LAKSHMI,,VL,,,,,,,,,,,,,,,POORNA,Shamshabad,SHAMSHABAD,,,,TELENGANA,INDIA,8096349406,,,,,,,,,,,,,,,,,,Monthly,2,17.25116,78.4377349
CHL-039,MAGMA PHARMACY,,MP,,,,,,,,,,,,,,,SWATHI,Shadh Nagar,SHADHNAGAR,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,17.0712297,78.2048878
CHL-040,DIVYA PHARMASY,,DP,,,,,,,,,,,,,,,RAJU,Shadh Nagar,SHADHNAGAR,,,,TELENGANA,INDIA,9951197636,,,,,,,,,,,,,,,,,,Monthly,2,17.0712297,78.2048878
CHL-041,VIJAYA PHARMA,,VP,,,,,,,,,,,,,,,GIRI,Shadh Nagar,SHADHNAGAR,,,,TELENGANA,INDIA,8096452683,,,,,,,,,,,,,,,,,,Monthly,2,17.0712297,78.2048878
CHL-042,ABHISHEK PHARMA,,AP,,,,,,,,,,,,,,,SRINIVAS,Shadh Nagar,SHADHNAGAR,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,17.0712297,78.2048878
CHL-043,AMRUTHA PHARMA,,AP,,,,,,,,,,,,,,,YADHIREDDY,Shadh Nagar,SHADHNAGAR,,,,TELENGANA,INDIA,7893900706,,,,,,,,,,,,,,,,,,Monthly,2,17.0712297,78.2048878
CHL-044,SIDHARTHA PHARMA,,SP,,,,,,,,,,,,,,,HUSSAIN,Shadh Nagar,SHADHNAGAR,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,17.0712297,78.2048878
CHL-045,SIVARAM NAIK PHARMA,,SNP,,,,,,,,,,,,,,,SANTOSH,Shadh Nagar,SHADHNAGAR,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,17.0712297,78.2048878
CHL-046,SANJEEVANI PHARMACY,,SP,,,,,,,,,,,,,,,NARAYANA,Shadh Nagar,SHADHNAGAR,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,17.0712297,78.2048878
CHL-047,SUSRUTHA PHARMA,,SP,,,,,,,,,,,,,,,CHENCHU REDDY,Mahaboob Nagar,MAHABOOBNAGAR,,,,TELENGANA,INDIA,8008665109,,,,,,,,,,,,,,,,,,Monthly,2,16.3841436,78.1108279
CHL-048,NEHA SHINE MEDICALS,,NSM,,,,,,,,,,,,,,,KALIMUDHIN,Mahaboob Nagar,MAHABOOBNAGAR,,,,TELENGANA,INDIA,9849744864,,,,,,,,,,,,,,,,,,Monthly,2,16.3841436,78.1108279
CHL-049,AADITHYA PHARMACY,,AP,,,,,,,,,,,,,,,KISHORE,Mahaboob Nagar,MAHABOOBNAGAR,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,16.3841436,78.1108279
CHL-050,SIRI MEDICALS,,SM,,,,,,,,,,,,,,,NARESH,Mahaboob Nagar,MAHABOOBNAGAR,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,16.3841436,78.1108279
CHL-051,SRIDATHA MEDICALS,,SM,,,,,,,,,,,,,,,MANOHAR,Mahaboob Nagar,MAHABOOBNAGAR,,,,TELENGANA,INDIA,9959466570,,,,,,,,,,,,,,,,,,Monthly,2,16.3841436,78.1108279
CHL-052,LAKSHMI PHARMACY,,LP,,,,,,,,,,,,,,,SANTHI,Mahaboob Nagar,MAHABOOBNAGAR,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,16.3841436,78.1108279
CHL-053,SRI DANVANTHARI MEDICALS,,SDM,,,,,,,,,,,,,,,NAZEER,Mahaboob Nagar,MAHABOOBNAGAR,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,16.3841436,78.1108279
CHL-054,SRI KRISHNA PHARMACY,,SKP,,,,,,,,,,,,,,,KRISHNA,Mahaboob Nagar,MAHABOOBNAGAR,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,16.3841436,78.1108279
CHL-055, SAI SHILPA PHARMACY,,SSP,,,,,,,,,,,,,,,VASU,Mahaboob Nagar,MAHABOOBNAGAR,,,,TELENGANA,INDIA,9885999108,,,,,,,,,,,,,,,,,,Monthly,2,16.3841436,78.1108279
CHL-056,KAVITHA PHARMACY,,KP,,,,,,,,,,,,,,,SUSMITHA,Mahaboob Nagar,MAHABOOBNAGAR,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,16.3841436,78.1108279
CHL-057,S.S.PHARMACY,,SSP,,,,,,,,,,,,,,,ABHAY,Mahaboob Nagar,MAHABOOBNAGAR,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,16.3841436,78.1108279
CHL-058,SWETHA PHARMACY,,SP,,,,,,,,,,,,,,,NIRANJAN,Mahaboob Nagar,MAHABOOBNAGAR,,,,TELENGANA,INDIA,,,,,,,,,,,,,,,,,,,Monthly,2,16.3841436,78.1108279
